tribe,address,user name,display name,score,attempts,isCheater
white,0x942cBEa64876Ff0b2e23c0712B37Dc0091804e9c,patrickxrivera,patrick,63,250,false
silver,0xC5076D409eE4F4E964a13D485BfD6b7C548Dba34,Frediscurious,Fred,173,169,false
gold,0x7F062ef11F2C17A0cc2F8615E01b319DaCC217Ad,terpsfi,Terps,431,121,false
purple,0x9e473e2E67bDA74db74447c9672F3Ecb27855257,itslogos,Logos,152,62,false
blue,0xAd311adF4CB8ab6628CdF77316F2134aF05C50c6,1MrPapi,PAPI,236,104,false
purple,0xc080324F33D5a591BFB7e7D504E62D20C7EBAC48,CatchMeStacking,Shaolin Capital,105,373,false
gold,0x5C0a5787178BdbC3582D0822f307D02f1E1cd919,GhandiTheGame,Ghandi ⋆｡‧₊°♱༉‧₊˚.,342,89,false
gold,0x11cd0aaf5bf73233651c867C2fbf6493185dFCd4,0xsmac,smac,64,129,false
yellow,0x24344dE334423FE32044BCD2AAc9db832F6eeAc7,0xcush,cush 🌞 d/acc,162,341,false
orange,0x7Bd8312697dE0CdfF4baD83c6Deb208fF3bB30DC,kaimicahmills,Kai Micah Mills,448,106,false
blue,0xbB3Cb5Ffc56Ad59cb192333B63C0cfFd745E7D49,KrishJagirdar,Krish 🎮,126,111,false
silver,0xeA310C966D3Ff5E09c65487f1763B21361Eb71eF,grntwrght,grunt,236,105,false
blue,0xec165C720931580E365112c3d790380495404BC9,netdragon0x,ndx.eth 🐉 🍌,180,94,false
orange,0x2C8cF899e98c538E3c58319e7e5a0105344a53b6,uninsightful,nikhil,211,103,false
pink,0xd4b25EE7981D834a58E43f49c7eB15aF9498ae32,varunv_88,Varun,47,161,false
yellow,0x0f9b1b68f848Cb65F532BC12825357201726d3d2,iamnickdoteth,iamnick.eth,37,104,false
pink,0x4f764a08c66251e13bdd85B4Bb0652B739736328,funghibull,funghibull,46,59,false
red,0xC06C7C6ec618DE992d597D8e347669EA44eDe2bc,enso_collective,ensō,117,95,false
red,0xF0CAd7C8b383f79A879eB6Df644e336234EBDac8,carlosecgomes,Carlos,45,420,false
pink,0x08cEb8Bba685ee708C9c4c65576837cbE19B9dea,WPeaster,WMP,46,415,false
blue,0x881475210E75b814D5b711090a064942b6f30605,traf,traf,234,98,false
blue,0x00063dDB30be7Bc2292583D5f143E9d6E6228440,binji_x,binji 🔴,160,48,false
red,0x2F7A3f2Dda7Fd36ad4D0c002c0E8D7B1Dac668B7,0ceans404,steph.lens 🌊 oceans404.eth,69,417,false
silver,0xddFA8BedE71b4c8CbB50ADA6E81E1E5180376bfc,crypto_sl33py,Sleepy,104,335,false
pink,0x7ff46AeE08428aF2F40c9Ff50dd6090B8aa26b55,bnj,Ben South,172,47,false
gold,0x5B93FF82faaF241c15997ea3975419DDDd8362c5,Cooopahtroopa,Coop 🔥_🔥,91,59,false
blue,0x09a5943a6d10919571eE2C9F63380aEA747ECA97,hildobby_,hildobby,79,119,false
red,0xF98B7e44EFe4c60264564554B885ab884D0dd904,renstern_eth,Ren Stern,109,125,false
yellow,0x32439F6dc6f8A52ebf7a766201B4db9d4fceee0a,it_me_kat,❀ kat ❀,99,5,false
purple,0xA7a5A2745f10D5C23d75a6fd228A408cEDe1CAE5,spengrah,Spencer Graham,72,161,false
green,0x4c60DE9Cd43Ed18a01229a9F8C64fE4ea63be748,DevinLewtan,Devin Lewtan,52,123,false
orange,0x9b3e886a7c03d001146e0a31212bf1b9FCd30983,lapgandhi,Lakshman,173,328,false
white,0xAbb485fdC925dc375B5d095a30fcae7f136Fd007,0xDesigner,0xDesigner,88,204,false
green,0x1f77d34deFF2B72B0A0258603eFFE72704742EBB,p3shoemaker,p3shoemaker,63,264,false
blue,0x44c2A80F8b924858DB469A5b35128908E55C531F,Kevvvbot,Kevbot,236,214,false
purple,0x3f51110b36fE8e14FAF9FfC9F4dF7794FD9C3326,TILuigi,Luigi,115,280,false
red,0x2488463E4c0269db94328F825F5E138d87f41d95,Schlomo,Schlomo ¯\_(ツ)_/¯,20,268,false
pink,0x333601a803CAc32B7D17A38d32c9728A93b422f4,Slokh,Kartik,236,172,false
green,0x35DC0E1F6C222C98Ae436933Df60bfF72dAcC772,pjmfyi,Phil 'PJ' Murphy,236,121,false
blue,0xf6B6F07862A02C85628B3A9688beae07fEA9C863,worthalter,worthalter 🦇🔊,125,75,false
orange,0x7137f0420565E1bCD6abEc57e3c4AaC05ddcaD01,bwats,Brian Watson,235,276,false
purple,0xA5d0ad68014026feeE78a1Fffd2A93797194750e,natashaghoskins,Natasha from Boys Club,64,220,false
blue,0x849151d7D0bF1F34b70d5caD5149D28CC2308bf1,jessepollak,Jesse Pollak (jesse.xyz) 🛡️,8,8,false
white,0xD5A498Bbc6D21E4E1cdBB8fec58e3eCD7124FB43,koloz193,"Zach Kolodny (∎, ∆)",135,137,false
red,0xdCDb88F3754B2841093D9348A2D02DF8cf06314C,tandavas,tandavas.eth 🫡,45,276,false
yellow,0xcB46219bA114245c3A18761E4f7891f9C4BeF8c0,lakshmansankar,lsankar,36,4,false
gold,0x42f107da772Bff3c88574bFb71b2E286f94Dd207,tridog,tri,81,198,false
green,0x7EE9033aad1d11a80F1c1e8d769FeACBC97416dB,defi_beats,DeFiBeats.eth 🦇🔊,236,119,false
pink,0xFb469965eC425D5B83Da58dd75A3A77AC06eafa1,JRRtokenNFT,JRRtoken.eth,180,169,false
gold,0xA4862213a5e9487232A04632EAf939A49863dD49,ajt,Alexander Taub (🔺👁🔺),99,47,false
green,0xf7256eD518fa3A8b1dDb2bBb0Cd0071617df7bF4,MFL_tw,M.F.L✺♦️,180,360,false
white,0xa251520154ca342f0B1D702Bf5a56F78c982405B,joshcrnls,Josh Cornelius,70,86,false
blue,0xb06Ece03eb2048fA31f32C3746E8CE13e8e2B2c9,FranklinBi,Franklin Bi,45,33,false
yellow,0x2849fdEb439035B49c02De5bD0387aB890A8C182,yllwnoiz00,jukebox.sol,46,32,false
red,0x9bc621f0232A0333E3ad77bc3634a0C46b3b21B7,milesjennings,miles jennings,49,248,false
silver,0xB1db41Aa2484E3f5f5a510e07003C29Fd1b0F115,wyllieonchain,macro dose,77,176,false
pink,0xF4535370D689108815BB0618E7ae11de0e339fcA,jayhinz,Jay,46,112,false
gold,0xF1Eb7EA5fcb862Fb4dBDEEe8dDF758E8C549DE6c,_yangyou,yang you,63,56,false
red,0xe6c117C6Fbe0fF54c6A555dB2A9af6bc11c58be7,johngranjovi,Jonathan Grana,87,350,false
yellow,0x08c6CAB5Bf0ae77833C5CBf8d2dd934a9253CD7B,Jierlich,Jonah Erlich ❤️‍🔥,46,22,false
yellow,0x9113F0D1d6541C4fe16B55873AA79d4a90b0bcc0,Jordanbauer_,JordanBauer.eth,448,31,false
silver,0x5BbF3884aB25112128FaD9aDd6b49047E7B02A53,batzdu,batz,156,117,false
purple,0x7705d8798a8F2069c966C85ede7588c4C9340349,0xVEER,VΞΞR,172,124,false
yellow,0x7c99670ECc3A57Cd1A8D1Bdfc8e2Ff5b4527b382,CashtroCrypto,Cashtro,179,137,false
red,0xD3a58489C18b759BE1c282Ef8885F70cebc2f1F6,jonmacapodi,Jon Macapodi,193,153,false
pink,0xFE35e15bE885750D9b2363cbB6aBDd57AC9C4c40,gtmcknight,taylor.perkshop.eth,236,160,false
white,0x5E3367F1F6CD4f772439ca239568F16CB5FED858,howdai27,Tina Dai ✨,91,211,false
green,0x5dBBcFaE7Ad3C6664C96f6439575332BC8157E2D,Christian_Dtmr,christian,236,107,false
red,0x5b990B2173839FDcdF3D3B7485aa2B89575C79eb,DavidDevai,DegenDayvd,37,899,false
blue,0x8874174A2366668d54fEa6343F71709389563c8a,lukecannon727,Luke Cannon 🧙🏽‍♂️ 🤙,135,387,false
gold,0x0cb27e883E207905AD2A94F9B6eF0C7A99223C37,seanwbren,seanwbren.eth,130,155,false
blue,0x4880d1cc7C72d3dB6774F219E47185cfd00dB40b,lexyy_xyz,lexy ✨,173,47,false
red,0x55045DA52be49461aF91a235E4303D4a9B2312AE,anquetil,martin,57,144,false
gold,0xdCb93093424447bF4FE9Df869750950922F1E30B,k_0214,YUKI KAWABE,136,129,false
orange,0x5B73a9F5f44E5FD61616C07Aae4DEa66C33aB44e,JesBickhart,Jes Bickhart,180,69,false
yellow,0x772f840d9011B7A4F6e8E684D4BD4eE0ddeb2A50,whalebirdszn,late fall sprout,46,65,false
orange,0x969795b513895365160Bc18F0861760adD9dc3ee,ProdigyNelson,derek.eth,236,164,false
yellow,0x38D261561Db340087bE6Ce4448EA0943671126a0,0xHerSilence,HerSilence 👹👺,46,50,false
gold,0x460A913023DaE36fFE6008fdea2edDF76e3328A2,hungry_lunch,hungry_lunch,180,294,false
white,0xAC528f736733c79AbF3A9ec69436720c90B75505,httpsageyd,Sage~,37,504,false
red,0xC3edCBe0F93a6258c3933e86fFaA3bcF12F8D695,_trente_,trente // ein.eth,37,86,false
purple,0x28B4DE9c45AF6cb1A5a46c19909108f2BB74a2BE,katiewav,katie,124,47,false
green,0x5008b5DD4bdbD96eD8897e56EBC8e84D2A824687,allsee,allsee,180,392,false
orange,0x89300DF3Bb9107CBfD2737de5D15Cd46655aab02,IamIanKane,Ian Kane,46,159,false
silver,0x1E0b16d340eD938A71467998e997e995110eD596,revelati,revelati,57,393,false
gold,0x1dDc50A8b8ef07c654B4ace65070B0E7acfF622B,vijaymichalik,vijay.eth,448,199,false
blue,0xe330B0AB6D18E3f523890403a9dF284fEb4Ba2b8,EAWharton,Eddie Wharton 🌊,46,159,false
orange,0x323596422e7d65a73c6396bCe5B1809e178e1f8e,FonzGm,Fonz ᵍᵐ🍌,134,301,false
orange,0xE098B6729Ced186c6187b35e8723ef64f4F8DE54,goldytalks,goldy,126,171,false
yellow,0x5e59Ac40c4D661E55a97C317A5002bf6D9E7109c,soz,soz,180,210,false
pink,0x86985eAad8Ba93120716F02b67fF68FdD3BC280a,NicitaAlex,Alex Nicita,211,32,false
green,0x2920A3192613d8c42f21b64873dc0Ddfcbf018D4,packyM,Packy McCormick,211,74,false
silver,0x51869683791F9950B19145fDC0be0feDF743dd78,DreamChaser206,AJ Edwards,173,440,false
blue,0x5A91Ab65c21fbC455d83226D8B784dE7685719c8,wirelyss,Wirelyss 👁️‍🗨️💫,236,173,false
orange,0xcf03B0F43F7C0578366C58d5277f0512297a71bE,delitzer,Dan Elitzer,46,84,false
blue,0x32fa013aF811a4CF97E460dF741DbA2485831537,jasoncliao,"Jliao (🦉, 🎈)",16,63,false
red,0xF5D4a3b9FB77d1d5600a10E0e1C4eFD12F9be751,DeeZe,DeeZe 🫡,208,130,false
blue,0xAf153E755F59BB62ba8A5b7e5FfDB71c0aC43305,winnyeth,winny.eth,125,122,false
white,0xbb1aAc81902F9735117fD6D95f3c86835d5Eb9D7,dbwoods11,woods,64,48,false
pink,0x3f0bc0051a30740ddAd3f7694e3034A1019963bB,a1lon9,alon,207,59,false
green,0x7e5cE10826eE167de897D262fCC9976F609ECd2B,evgeth_,evgeny.eth ⧗,173,204,false
pink,0x93A1b9B596678215Ad08CB5d6da9B3e6aF2ba7E1,benjm,Ben,88,521,false
yellow,0xf00408DDcAf624129cC0D08AA122A7ABE1f2EF31,alexkayaian,alex,101,24,false
purple,0x41063a34b2Be6A0daaD1ddd904855E5e9d80aD7e,0x_wes,OhExWes,46,226,false
gold,0x42982dAfD5577DB35255bB1Dab0B288464844de1,zkMoira,Moira,173,290,false
blue,0x6c1e581e4eA169c28B9cA03F17F7370E030548aC,camillionaire_m,Camilla McFarland,135,70,false
red,0xFc4e51A187bF53EC6E21d0b4516a0e6437e8d73B,josephpalbanese,jpa,46,101,false
yellow,0x57B1415c4aff6A4Aeba78875aB489aB4Dae32e4a,DefiHope,DΞfiHopΞ ✨🗯️🗨️,19,46,false
orange,0xf642a9f168EB9BEa7a99235A84B7e91Cddb09282,raffichill,Raffi Chilingaryan,181,134,false
green,0xB68A6a83CfCA2e7FDE2aa5749b85e753f55D58Cd,0xSkyMine,SkyMine 🦇🔊 | 🌶 | ℗⌐◨-◨ | 🌚,46,127,false
white,0xd99B95f92Cce2A7BEAa0aB2Fe6b0D9F5D5A30138,domodata,domo,174,43,false
yellow,0x5606B493c51316A9e65c9b2A00BbF7Ff92515A3E,will__price,Will Price,46,53,false
orange,0x63C28927bFceA56d3f030A178543177ac5E7cf2A,LaMoniRojas,Monica,64,196,false
red,0x74b4aF0bc073e88a0A09F7e015480d7069D2fAf6,Stockeyyy,Stockeyyy,46,136,false
red,0x9Ac035863fdF5EE0572F71F9da6E7aE729dc75AD,ftrofa,Frank Trofa,41,233,false
gold,0x894f346dcAC4944100BC6e65CDE7Cfe7a6781716,anuatluru,anu ☻,100,432,false
red,0x0B3CF56E7dF3BB3Fb7201fFcD96d279b05DDd2E3,SalvinoArmati,Salvino D'Armati,135,160,false
silver,0x302aE9D5BDD8f5125b1182cdd966Ff4eEd3E3aCF,medeana,deana,41,448,false
gold,0x3781515c673c9776f923dA06d367ef3DDF26c430,0xthanos,Thanos,136,132,false
orange,0x017347cb75aC8725608e593EA35d83f9B2b3cfb8,zestycheeto,Zesty,74,158,false
orange,0xD70A54B32EC2F4fB01e296Dc23d44BD01B9f7e2d,scottiehalps,Scott Halperin,131,109,false
pink,0xF24d6191f84d1c17515E3a26B036E2AB12FE5C39,alexcarrabre,AlΞx Carrabre,236,83,false
orange,0x825728f78912B98ADFB06380F1fcDcDA76fd0f87,ettinger,Andrew Ettinger,37,286,false
blue,0x230d31EEC85F4063a405B0F95bdE509C0d0A8b5D,brockjelmore,brock,137,205,false
purple,0x45db9d3457c2Cb05C4BFc7334a33ceE6e19d508F,GSkrovina,Garrett Skrovina,43,259,false
yellow,0xcB565Ee70934c5887F9459fb0Dcec6ADD7F43CF2,boogaav,Booga | 🎥 Man of Crypto,,,
blue,0x216A4e6722297Ffd039FFcCbc4cDC51D5256B935,nassyweazy,Nass Eddequiouaq,124,183,false
green,0x3090F21b6dE863b442fdDD8F2faeCab094C3D8C9,seanlattimorejr,Sean Latt,178,232,false
gold,0x7a986b3e98A9cFCe38E2070ACC6b0e2ACeD31C91,Abraham_L_L,Abraham Litwin-Logan,105,177,false
silver,0xbfDb50Dc66C8Df9fd9688D8fe5A0C34126427645,MarkBeylin,Mark Beylin,194,74,false
white,0xE481c6D99DBDC4d27689E2B418A8fa3c27ee1bdC,artofkot,Artem,45,36,false
silver,0x80cef8f224Deb7cBbfbb6b1Afb6d89652e933d0F,shaaa256,shaaa.eth,63,176,false
pink,0x953cC221d2D43bA9b7EB9BDf17617aEa39CEa774,deaneverett_j,dean,135,137,false
red,0xF668cc6cdE8ae8670d90400c32EfD78C8d6E243A,melobirdx3,melo 🧙🏻‍♂️ (edm/acc),46,49,false
white,0x38EED3CCeED88f380E436eb21811250797c453C5,jakub_rusiecki,jakub rusiecki,63,110,false
green,0x46EA64F25e9bcE988328e04C69484Dd54ceBD890,magsawww,magsawww,179,440,false
pink,0x4124Cf34f56fa151E05c91aCE550ADa0DD5aABD7,izgnzlz,Isabel,146,215,false
pink,0xBb6f397d9d8bf128dDa607005397F539B43CD710,0xasdf_eth,asdf,45,205,false
orange,0xd76fF76AC8019C99237BDE08d7c39DAb5481Bed2,0xbasil,basil,122,95,false
yellow,0xE35b606317E2D2b664B0FEE041f99b22A3aAa3D2,iamnotnicola,nicola 💾,45,213,false
pink,0xFf9B563140952FB7E3E5552F1a5068b637f0DE0a,defiginger,chris eberle ✨,52,219,false
yellow,0xcd742e8a2a4798b0A94B9f94EC49668f58Fab790,rocker,rocker,206,36,false
white,0xf56345338Cb4CddaF915ebeF3bfde63E70FE3053,BoredElonMusk,BORED,6,49,false
yellow,0x17204f7cd5ff487e22DfaEE29Ad91b59db0e8DA6,cjsxyz,Chris Shu,46,132,false
yellow,0x490AFd96f33Ef169814E2A5FFC55dAe99b6bE963,jnapp18,jnapp18.btc (Jack),236,78,false
purple,0x895cAb25e9E5A5a026C201c988cDfCC6c9b0D3dB,Rahatcodes,rahat.eth,126,164,false
silver,0xEEad1396fe5f0daec6DbC04d8a43E85dDE4d97DA,MSilb7,Michael Silberling,115,57,false
orange,0x13E2eD5724E9d6Df54ed1ea5B4fa81310458c1d9,jacksondahl,Jackson Dahl,179,114,false
white,0x3FE61420C33b0E41DDd763adaAeB0b638E78b768,poof_eth,poof👹,94,301,false
silver,0x47ec58D5704082527a90362a6293029d7Ed5fc4E,benroy__,Ben Roy,124,23,false
gold,0x8a2198711de295c8C17CC8FdC4837FEEdE83C496,Crypto_Syd,syd.stars 🐱🚀🌙,236,51,false
purple,0x2120C9A63F1d1d09b73EAc514FCeA779ed1e5D39,elistonberg,Eli Stonberg,46,150,false
yellow,0x2DE6FdBE0f9d32C2e11c04E16B51EAF3527D05E5,SharkFragile,fragileshark.eth,157,86,false
gold,0xFd4F24676eD4588928213F37B126B53c07186F45,zencephalon,zen eth/acc,125,120,false
pink,0xFd37f4625CA5816157D55a5b3F7Dd8DD5F8a0C2F,mediaquery,Marco,234,115,false
purple,0x5b98d864A86A0C53964d017997f3281f675C0840,maikaisogawa,Maika Isogawa,135,105,false
green,0xe703f231aB056eCb99C92a1232cC1020ACFC72f8,co1born,╭colborn.jpg 🔜🕳🐇ʷʰᵒ ʳ ᵘˀ,236,118,false
