tribe,address,user name,display name,score,attempts,isCheater
gold,0x5F7670321668e6db551E39e7A5DFF443d42Dc97f,white_house_eth,white-house.eth,0,18,true
red,0x7Bd8312697dE0CdfF4baD83c6Deb208fF3bB30DC,kaimicahmills,Kai Micah Mills,6730,143,false
yellow,0x91DDa995be3A56bBF2Ac6E5e14eb9213a336AAc6,c__bergz,Carl Bergman,,,
blue,0xC8ecE128e77dFe3a3Bbd2c7d54101f2238F8b611,KentoInami,Kento Inami,470,2,false
silver,0xcEd09CCFc82b091195bdE04E6Cd65374518E7b95,ddwchen,tree girl 🌲,4920,188,false
red,0xd7536f8FeA24d5742aC4680dD33033DF5F58F21A,NateyG,nate 🆖,5950,42,false
pink,0x4880d1cc7C72d3dB6774F219E47185cfd00dB40b,lexyy_xyz,lexy ✨,7500,69,false
silver,0x51869683791F9950B19145fDC0be0feDF743dd78,DreamChaser206,AJ Edwards,5490,366,false
orange,0xA7EF08585b7188Bcc140053B039933620bf7E04f,pixel_jindo,Pixel Jindo (ashart.eth),5700,126,false
green,0xAf153E755F59BB62ba8A5b7e5FfDB71c0aC43305,winnyeth,winny.eth,4120,39,false
gold,0xaf0f73C4cdD1AeaEf375f0cD002AA341aCeAe174,ImGordonSun,Gordon Sun,5030,33,false
gold,0xe3D73DAaE939518c3853e0E8e532ae707cC1A436,nbaronia1,Neel Baronia is 📖 The Cryptopians,0,13,true
purple,0xBa03d7A4419745cd0D6BF14877394446Dc043583,patrykadas,Patryk,4600,146,false
purple,0xC4798B79d22630CEE83B4eCb0Fd98cd5fF0fbb62,thattallguy,Jess 🌱,1520,4,false
blue,0x49b219F12ec04694268F3b950AaCCC2d8D3E6b56,JSunDerulo,jsunderulo,3850,65,false
green,0x55045DA52be49461aF91a235E4303D4a9B2312AE,anquetil,martin,3020,17,false
purple,0x7e5cE10826eE167de897D262fCC9976F609ECd2B,evgeth_,evgeny.eth ⧗,4660,13,false
purple,0x8ab1760889F26cBbf33A75FD2cF1696BFccDc9e6,dhadrien_,Hadrien Charlanes (dhadrien.eth),0,70,true
gold,0x925aD5ACB7762Bd26C8A024673F0Fd32a313203c,Ricocunhalay,ricolay,4660,137,false
green,0xF73FE15cFB88ea3C7f301F16adE3c02564ACa407,shahruz,shahruz,3370,4,false
gold,0xF98B7e44EFe4c60264564554B885ab884D0dd904,renstern_eth,Ren Stern,5990,209,false
blue,0xe6aDEF9101D9694b6faC17B4f1629650768661B1,arjunblj,Arjun Balaji,3690,29,false
green,0x808a2adbD0a3fc679e3F7CD18d4f579BFCaaEC9C,ljin18,Li Jin,3720,32,false
red,0x38488DCa8dccFEebfD3CC298436134e3b3aF6B8B,SHL0MS,█̶̳̘͛̄̃͒̄̃͜█̴͇̱̅͒̅█̵̻̣̝͒̈̄̈͝͝█̴̞̜̻̝͍̂̽͜█̷̢,5320,124,false
white,0x89300DF3Bb9107CBfD2737de5D15Cd46655aab02,IamIanKane,Ian Kane,5090,218,false
silver,0xf642a9f168EB9BEa7a99235A84B7e91Cddb09282,raffichill,Raffi Chilingaryan,5920,154,false
orange,0x09a5943a6d10919571eE2C9F63380aEA747ECA97,hildobby_,hildobby,3760,21,false
pink,0x4076dC883750F40484298E8A300bF1E50D031787,robdezendorf,rob dezendorf,4560,129,false
purple,0x7137f0420565E1bCD6abEc57e3c4AaC05ddcaD01,bwats,Brian Watson,5020,61,false
green,0xe330B0AB6D18E3f523890403a9dF284fEb4Ba2b8,EAWharton,Eddie Wharton 🌊,2560,25,false
blue,0x1dDc50A8b8ef07c654B4ace65070B0E7acfF622B,vijaymichalik,vijay.eth,4400,15,false
purple,0x614A61a3b7F2fd8750AcAAD63b2a0CFe8B8524F1,reneil1337,reneil.eth 🕳🐇,4520,41,false
blue,0x8351e2cE1Fc2DE82d4a1e8D31b2dA33127E55737,turbahn,Itai | dynamic.xyz,,,
white,0x9bc621f0232A0333E3ad77bc3634a0C46b3b21B7,milesjennings,miles jennings,3460,52,false
silver,0xAC528f736733c79AbF3A9ec69436720c90B75505,httpsageyd,Sage~,4670,96,false
purple,0xde80b69637CaF8B113568ADb7aa02B24c3CfDb04,FernandaWa6017,Fernanda Washington,2140,1,false
blue,0xA5d0ad68014026feeE78a1Fffd2A93797194750e,natashaghoskins,Natasha from Boys Club,3360,16,false
purple,0xFf9B563140952FB7E3E5552F1a5068b637f0DE0a,defiginger,chris eberle ✨,5430,72,false
silver,0x5B73a9F5f44E5FD61616C07Aae4DEa66C33aB44e,JesBickhart,Jes Bickhart,4830,36,false
red,0x6525ADB227F472D3071DDad6c1f8414E37Ed7456,joshsimoncic,Josh,5690,226,false
silver,0x894Aa5F1E45454677A8560ddE3B45Cb5C427Ef92,AnnikaSays,Annika Lewis,5110,276,false
pink,0x969795b513895365160Bc18F0861760adD9dc3ee,ProdigyNelson,derek.eth,8520,399,false
red,0xb9986334BFd05faa2465Fe0c3B4ee2330102A6D4,geezee_games,Geezee,,,
green,0xec165C720931580E365112c3d790380495404BC9,netdragon0x,ndx.eth 🐉 🍌,8520,262,false
orange,0xf00408DDcAf624129cC0D08AA122A7ABE1f2EF31,alexkayaian,alex,4770,24,false
silver,0x3FE61420C33b0E41DDd763adaAeB0b638E78b768,poof_eth,poof👹,6710,155,false
white,0xC43A8A2530dCf66F458f7531a8275752d60f7689,_ConorMoore,Conor Moore,3520,75,false
pink,0xE098B6729Ced186c6187b35e8723ef64f4F8DE54,goldytalks,goldy,6010,234,false
pink,0xFb469965eC425D5B83Da58dd75A3A77AC06eafa1,JRRtokenNFT,JRRtoken.eth,6120,193,false
gold,0x913A9995a97649b31F42066cD536cAc0ba1d435A,arbitrumaster,Arbitrumaster 🤝,4580,83,false
orange,0xAf98Bb4bCeD00A17fFE020499C342CFC3511Fb10,JustinCBram,Justin Bram,2870,7,false
red,0x0a4AE9E34Cf37f4B1534CBcD0C9c6B954bdD6d9b,seankkoons,sean koons,5840,126,false
yellow,0x28ff8e457feF9870B9d1529FE68Fbb95C3181f64,imthatcarlos,carlosbeltran.lens,3700,29,false
pink,0x54C4849e1D25dA384B8b30Bc2fA9e03267D317f6,mewwts,Mats 🏀,680,1,false
purple,0x62E1D5ADfB8826515DDF897BF32ae397b9735208,tomhschmidt,Tom Schmidt ＞|＜,3520,11,false
pink,0x7705d8798a8F2069c966C85ede7588c4C9340349,0xVEER,VΞΞR,5120,106,false
orange,0x82cD1b0fAA449D0562bB32072dc1E5BE9C509c1D,TalkToTheLocals,Fede,5920,34,false
orange,0xD3E401814d1FaA8ca0419EccCBFeE93aC7B15B31,Komorebi8888,Komorebi88,2820,15,false
green,0xf56345338Cb4CddaF915ebeF3bfde63E70FE3053,BoredElonMusk,BORED,3720,18,false
red,0x10D6d2e343281D388291A3e02f3293AaEdA67178,HelloShreyas,Shreyas Hariharan,1710,1,false
orange,0x3fFc477e96c98a22218497667eBf776489CAaD89,clujso,David,5440,37,false
green,0x5B93FF82faaF241c15997ea3975419DDDd8362c5,Cooopahtroopa,Coop 🔥_🔥,4510,48,false
red,0xEa4C7bbb46473e2de10f0bA33B28E3aD9c26AF91,mmmargueta,marielisa,3340,6,false
gold,0xb812079f56502Af5D7140A32221A494fba9f3E22,_nityas,Nitya Subramanian,4400,8,false
silver,0xbfDb50Dc66C8Df9fd9688D8fe5A0C34126427645,MarkBeylin,Mark Beylin,6050,271,false
red,0x7EE9033aad1d11a80F1c1e8d769FeACBC97416dB,defi_beats,DeFiBeats.eth 🦇🔊,5930,176,false
white,0xD5A498Bbc6D21E4E1cdBB8fec58e3eCD7124FB43,koloz193,"Zach Kolodny (∎, ∆)",5810,189,false
white,0x06DA92f4F1815E83Cf5A020F952f0E3275A5B156,chintanturakhia,Chintan Turakhia🛡️,4310,7,false
blue,0x2849fdEb439035B49c02De5bD0387aB890A8C182,yllwnoiz00,jukebox.sol,7720,129,false
yellow,0x323596422e7d65a73c6396bCe5B1809e178e1f8e,FonzGm,Fonz ᵍᵐ🍌,5130,83,false
gold,0x7558B9A644CcD3C815F7b717213Dff0B0a9b0f98,BobbyThakkar,Bobby Thakkar,3210,3,false
yellow,0xF5D4a3b9FB77d1d5600a10E0e1C4eFD12F9be751,DeeZe,DeeZe 🫡,7200,100,false
yellow,0x1E0b16d340eD938A71467998e997e995110eD596,revelati,revelati,4090,48,false
white,0xD3a58489C18b759BE1c282Ef8885F70cebc2f1F6,jonmacapodi,Jon Macapodi,6740,374,false
red,0xd99B95f92Cce2A7BEAa0aB2Fe6b0D9F5D5A30138,domodata,domo,5000,47,false
red,0xC5A2f28BAcF1425BFAEA14834486F0e9d0832155,arc4g,ARC,2330,99,false
blue,0xe6c117C6Fbe0fF54c6A555dB2A9af6bc11c58be7,johngranjovi,Jonathan Grana,6880,123,false
pink,0x017347cb75aC8725608e593EA35d83f9B2b3cfb8,zestycheeto,Zesty,2970,21,false
red,0x24344dE334423FE32044BCD2AAc9db832F6eeAc7,0xcush,cush 🌞 d/acc,4110,140,false
pink,0x46e6f508F930b01dC6A965e87f97902e994cd544,jdzie_,Julian,5960,89,false
purple,0x57B1415c4aff6A4Aeba78875aB489aB4Dae32e4a,DefiHope,DΞfiHopΞ ✨🗯️🗨️,3160,2,false
white,0x8Fac841807E21807F511dAf3C04a34cd78661F4c,hhjacks,"jacksun.lens (🏰,🏰)",3680,33,false
purple,0xA3Cf7eA710814aFb6Ab1E3fdB8b5d51Ae9Db8Dc7,WizLikeWizard,Wiz 👨‍🚀,,,
yellow,0xe703f231aB056eCb99C92a1232cC1020ACFC72f8,co1born,╭colborn.jpg 🔜🕳🐇ʷʰᵒ ʳ ᵘˀ,8310,303,false
pink,0x0B3CF56E7dF3BB3Fb7201fFcD96d279b05DDd2E3,SalvinoArmati,Salvino D'Armati,2180,3,false
green,0x2C8cF899e98c538E3c58319e7e5a0105344a53b6,uninsightful,nikhil,6320,204,false
red,0x47Bbf62C4326EFF3353022e7Dd1d9caA5bc97841,BenTerry,Ben Terry,5310,80,false
red,0x5008b5DD4bdbD96eD8897e56EBC8e84D2A824687,allsee,allsee,5750,86,false
green,0xA7a5A2745f10D5C23d75a6fd228A408cEDe1CAE5,spengrah,Spencer Graham,6520,190,false
blue,0xd76fF76AC8019C99237BDE08d7c39DAb5481Bed2,0xbasil,basil,4360,59,false
gold,0x57B02589d6e24203FC43e442ce9A4803E290293b,joshbreite,joshbreite.eth,6700,79,false
red,0x7310E238f2260ff111a941059B023B3eBCF2D54e,keirsim,KEIRAN,2210,17,false
yellow,0x7D41268e3a5A738d25fE521ac35dd437b95b6786,Rhynotic,Adam,5720,136,false
white,0x80cef8f224Deb7cBbfbb6b1Afb6d89652e933d0F,shaaa256,shaaa.eth,5870,48,false
green,0x894f346dcAC4944100BC6e65CDE7Cfe7a6781716,anuatluru,anu ☻,4780,509,false
blue,0x9B138E61bc913654132CA6a0e1571fECe0f5B570,Prooflolz,prooflol.eth,3620,33,false
yellow,0xeA310C966D3Ff5E09c65487f1763B21361Eb71eF,grntwrght,grunt,5740,194,false
red,0xcd6CC95D927A342bdd63A7b3F7E281728B291c1E,AleahBoudr20055,Aleah Boudreaux,,,
green,0x9113F0D1d6541C4fe16B55873AA79d4a90b0bcc0,Jordanbauer_,JordanBauer.eth,5070,114,false
purple,0x9Ac035863fdF5EE0572F71F9da6E7aE729dc75AD,ftrofa,Frank Trofa,,,
green,0xAbb485fdC925dc375B5d095a30fcae7f136Fd007,0xDesigner,0xDesigner,4260,44,false
yellow,0xFa595a41018DD2dbFff8147FcC5478bb424E3984,schmooey,Andrew Steinthal,1440,6,false
blue,0xc1555DCce7fE410B7049fe9Da8B565d6BE86D813,tekinsalimi,tekin salimi,,,
blue,0x5fC3aFaeeF0fF1149cee3bd80C1B20DE629dF880,0xm1k4,M1K4,4070,43,false
silver,0x61F1E76b1306F4aF64fd6899467f33DB31653AFa,Calm_Sensei,Sensei,6120,257,false
purple,0x6c1e581e4eA169c28B9cA03F17F7370E030548aC,camillionaire_m,Camilla McFarland,,,
green,0xCFFE08BDf20918007f8Ab268C32f8756494fC8D8,gabrielhaines,Gabriel Haines.⌐◨-◨,4780,45,false
orange,0xD7d8CD5b871fED2BCD9CeA31cFAeEC93702C0498,peace_node,peacenode.eth,5720,188,false
purple,0x38D261561Db340087bE6Ce4448EA0943671126a0,0xHerSilence,HerSilence 👹👺,3620,40,false
white,0xA835812Bbc9303B9DF98d466a8df6CCE7988b659,cr0ssETH,cr0ss.eth,5880,52,false
white,0xDC4471ee9DFcA619Ac5465FdE7CF2634253a9dc6,c0rv0s,Nate,4680,45,false
pink,0x7b78F347cc40F15344EDE278EcEC4E39E1F15485,NTBro,trunzo.eth 💜🦇🔊,2890,6,false
yellow,0x825728f78912B98ADFB06380F1fcDcDA76fd0f87,ettinger,Andrew Ettinger,5070,72,false
orange,0x1e341Aa44c293d95d13d778492D417D1BE4E63D5,web3brett,BlockchainBrett,7320,206,false
silver,0x3090F21b6dE863b442fdDD8F2faeCab094C3D8C9,seanlattimorejr,Sean Latt,4470,60,false
purple,0x324Ea50e48C07dEb39c8e98f0479d4aBD2Bd8e9a,DistStateAndMe,Samuel Dare,,,
silver,0x74B78e98093F5B522A7eBDAc3B994641cA7c2b20,jordanmessina,Jordan Messina (ctrlc.eth),5200,105,false
white,0xe3abCD85AA20279297ae52552758D6C4878c5d0C,0xlxy,lixingyu.eth,3620,64,false
pink,0x08cEb8Bba685ee708C9c4c65576837cbE19B9dea,WPeaster,WMP,0,230,true
yellow,0x5D1e8B6722FC4229De9ac0Fd111eA4C44a5A64B9,darylX24,DarylX,,,
red,0x5b98d864A86A0C53964d017997f3281f675C0840,maikaisogawa,Maika Isogawa,5820,153,false
pink,0x8874174A2366668d54fEa6343F71709389563c8a,lukecannon727,Luke Cannon 🧙🏽‍♂️ 🤙,3950,252,false
white,0xBA84393AD74905aF69035BF285c9A59a667bFB4c,yellen_2k,0xyellen🪬,5800,83,false
green,0xC06C7C6ec618DE992d597D8e347669EA44eDe2bc,enso_collective,ensō,6800,129,false
yellow,0xA0beCCF5AA2bED1978FCCA4b8aA9BCEE89eF23Eb,ankytheape,Anky | Mint Open,4610,176,false
gold,0xCB628527d70f081a763E4Fc003ebC67260B181fE,maxmcq,Max McQuillan,4840,59,false
pink,0x114D5798B35d3FDB6b1185cf849c6F7D5E8D0eA0,nickgallo,nick gallo,,,
silver,0x13E2eD5724E9d6Df54ed1ea5B4fa81310458c1d9,jacksondahl,Jackson Dahl,4900,78,false
green,0x5Df064A0c99Ee40171500782934b47B874462D18,ethmaurice,maurice.sei,7120,201,false
orange,0x7c4aF548d26BcE1c397A839F5b1b5aF90B7cEfcE,0xNN2,Nick Naraghi 🧢,7720,198,false
yellow,0x86D6d66371e45ea795409FDb4b6f378878390C48,Swift_Kill,Alex Ramirez,8520,387,false
pink,0x93f9d2639bdc045b746DEE32fDD4E1DFE12AC64c,shayonsengupta,shayon,1140,4,false
green,0x139D2fED7122Ca82Ad2c6c45Abd65dDEC92e7519,MLescrauwaet,Michiel Lescrauwaet,5360,321,false
red,0x19925d26d01C2bDA9240a5f46Fae5c502A850651,0xason,ason,5370,238,false
gold,0x45db9d3457c2Cb05C4BFc7334a33ceE6e19d508F,GSkrovina,Garrett Skrovina,5740,75,false
gold,0x460A913023DaE36fFE6008fdea2edDF76e3328A2,hungry_lunch,hungry_lunch,0,55,true
pink,0x5e0D698B5f250CE73d2969815fF4AAe1B3f51D91,GRothstein1,Garrett,6930,152,false
pink,0x66D433d8B786679e00d614b704FaA6455677C032,snokkok,MetaChok,3830,45,false
blue,0x953cC221d2D43bA9b7EB9BDf17617aEa39CEa774,deaneverett_j,dean,4370,252,false
white,0x9e473e2E67bDA74db74447c9672F3Ecb27855257,itslogos,Logos,7720,839,false
white,0x1dF428833f2C9FB1eF098754e5D710432450d706,0xJoshuaSL,"0xJoshua.eth (🦇,🔊)",5020,187,false
yellow,0x2488463E4c0269db94328F825F5E138d87f41d95,Schlomo,Schlomo ¯\_(ツ)_/¯,2660,9,false
green,0x742b97dC68bCC3475fEB734C2dF2C76f25664532,JamesJohnBeck,jjb,2280,5,false
pink,0xAd311adF4CB8ab6628CdF77316F2134aF05C50c6,1MrPapi,PAPI,0,72,true
yellow,0xF36d39142aB65e4E2188B8c7e627c6a1E39d4A22,BoredOpepen,Bored Opepen,3560,9,false
yellow,0x08c6CAB5Bf0ae77833C5CBf8d2dd934a9253CD7B,Jierlich,Jonah Erlich ❤️‍🔥,3020,9,false
purple,0x25DC0b41b53Bff06bF4e245a9Fc13BA38Ad32bC3,denny__walker,Igor Shmakoff 🦇🔊,0,33,true
pink,0x33a8119ae5a1Dee85FFA994De959CA7617baEf77,itsjackcohen,Jack Cohen,2820,30,false
purple,0x4FAFA767C9CB71394875c139D43AeE7799748908,OKDunc,Duncan ◐🦇🔊,5170,167,false
gold,0x8F9A99eEfe3A4Ba77dD3A4367a541fa5b526C42c,PelosiTracker_,Nancy Pelosi Stock Tracker ♟,4350,46,false
red,0xd165EcDE7e7825923c8A53CC0ce8f0D75E200dD0,F4ntast1cMrF0x,Mr. Fox 🦊,,,
silver,0x3f51110b36fE8e14FAF9FfC9F4dF7794FD9C3326,TILuigi,Luigi,5590,196,false
green,0x4c60DE9Cd43Ed18a01229a9F8C64fE4ea63be748,DevinLewtan,Devin Lewtan,4100,168,false
white,0x5b990B2173839FDcdF3D3B7485aa2B89575C79eb,DavidDevai,DegenDayvd,4550,292,false
silver,0x75c5dCE2Ca800A51931e970119329EC5147D60E1,sia_kazi,Sia,4390,37,false
orange,0x45B6b57c8EcC32bE9648Bc083F53B8fBF88BF28b,CaoArmand,CaoYin🐯曹寅,,,
gold,0x5C0a5787178BdbC3582D0822f307D02f1E1cd919,GhandiTheGame,Ghandi ⋆｡‧₊°♱༉‧₊˚.,8210,415,false
silver,0x92Ff2b9fAf90f0F40fDb907A0cDFd6B9EfC7925f,frozenturnip,frozenturnip.eth,7030,125,false
gold,0xdCb93093424447bF4FE9Df869750950922F1E30B,k_0214,YUKI KAWABE,6410,40,false
pink,0x881475210E75b814D5b711090a064942b6f30605,traf,traf,7720,346,false
white,0xf7a264d8D3e761D1667E3E3586158f53AF155322,lsukernik,Larry Sukernik,2420,12,false
blue,0x23eE807D75Ec35578346B132b98d6B836698E676,fededaffina,Federico,6000,194,false
orange,0x3BD4c721C1b547Ea42F728B5a19eB6233803963E,winnielaux_,winnie,0,237,true
white,0x439945b21b40b1cA89c135892fa1E3896Ff39Ff0,y77cao,chaos,1810,14,false
blue,0x621450B6320dCCF4179F7C51C5c15caE2633652a,braeden_norris,Braeden Norris,1130,3,false
orange,0x867629A9311F70F2E2e9707a2597c91650014Be6,muir_eth,Muir 🟢,6920,123,false
yellow,0x86985eAad8Ba93120716F02b67fF68FdD3BC280a,NicitaAlex,Alex Nicita,6380,381,false
yellow,0x227B6008ae04718Aa821E57d04D8337799cdfdb2,henri_stern,"Henri Stern (🪄,🧻)",4840,111,false
green,0xA83444576F86C8B59A542eC2F286a19aB12c2666,parisrouz,Paris Rouzati,3300,46,false
orange,0xc5838aC75174bF18B79D758439C7573116a90803,ChrisVolpe12,Chris Volpe,8520,101,false
green,0x17204f7cd5ff487e22DfaEE29Ad91b59db0e8DA6,cjsxyz,Chris Shu,5340,255,false
yellow,0x2120C9A63F1d1d09b73EAc514FCeA779ed1e5D39,elistonberg,Eli Stonberg,4690,133,false
purple,0x490AFd96f33Ef169814E2A5FFC55dAe99b6bE963,jnapp18,jnapp18.btc (Jack),7260,187,false
red,0x6D4065cfF95252b12f07e2192D33B264f90796Db,jameswilsterman,James Wilsterman,5300,175,false
green,0xf6c84b44d1697c804a4cbf04A35592360eb0b920,apgdoesweb3,Angelo Panumaht Goepel,2610,5,false
silver,0xf962D5BA995a4E048B3Eb2e9a9a627288b85d64C,goliath_y,.,2570,5,false
pink,0xE43894668934004720435E6359aAa25277163b6f,ManoppoMarco,Marco Manoppo,,,
purple,0xEEad1396fe5f0daec6DbC04d8a43E85dDE4d97DA,MSilb7,Michael Silberling,3850,58,false
orange,0x0B09CBa314b3983B3a1B2f3f3224fF169E491B4a,FigBonner,Fig Bonner,4290,83,false
silver,0x5E3367F1F6CD4f772439ca239568F16CB5FED858,howdai27,Tina Dai ✨,4710,370,false
white,0x765E406Eb1Bb0909F4Eae2fe5B52c21C9E61b498,ibcflan,cflan,5170,145,false
orange,0x7F062ef11F2C17A0cc2F8615E01b319DaCC217Ad,terpsfi,Terps,7680,144,false
purple,0xF24d6191f84d1c17515E3a26B036E2AB12FE5C39,alexcarrabre,AlΞx Carrabre,4040,117,false
purple,0x141Edb16C70307Cf2F0f04aF2dDa75423a0E1bEa,bdguan,br1an.eth,4470,7,false
blue,0x8129c94d2F2b18Fa4b63bD0A3B64EdE4823374AE,IdeaMikk,"mikk (📎,📎)",,,
silver,0xcf88FA6eE6D111b04bE9b06ef6fAD6bD6691B88c,JordanLyall,Jordan Lyall,5050,82,false
orange,0x63C28927bFceA56d3f030A178543177ac5E7cf2A,LaMoniRojas,Monica,3270,50,false
white,0xE0982E0d39eeE312017c58DBa76c99Ca59b8A958,MayaBakhai,Maya Bakhai (is hiring robinhood & snapchat devs),800,1,false
white,0xE481c6D99DBDC4d27689E2B418A8fa3c27ee1bdC,artofkot,Artem,3260,9,false
yellow,0x6Dc43be93a8b5Fd37dC16f24872BaBc6dA5E5e3E,blockchainjames,James.eth 🔥_🔥,4410,78,false
yellow,0x7cb71C594FEBACE6b6bA11126abeB8Cc860cB24A,0xYugi,yugi.⌐◨-◨,4820,11,false
blue,0x94C7C5F905fC888DDC48c51A90b68DdEC44F8d8C,NadavAHollander,Nadav Hollander,,,
red,0xE7c8712fC60B20693046c71E5012801eaAfc7217,AlexisMasseron,Alexis Masseron,,,
blue,0xe1dFd93006B6cCDf32A10320b288fB94d5041450,tomsegal,Thomas,4860,118,false
orange,0x3Ee6Cda1E03ADFA072bcB6Be969020b68E761423,thgcruz7,thiago.perkshop.eth,3910,58,false
orange,0x9b3e886a7c03d001146e0a31212bf1b9FCd30983,lapgandhi,Lakshman,4700,438,false
green,0xB68A6a83CfCA2e7FDE2aa5749b85e753f55D58Cd,0xSkyMine,SkyMine 🦇🔊 | 🌶 | ℗⌐◨-◨ | 🌚,5720,117,false
pink,0x11cd0aaf5bf73233651c867C2fbf6493185dFCd4,0xsmac,smac,5590,155,false
purple,0x353C8257C718A9f67037C08cE8c4393df285A0F2,cyberpunk,BEN.ZZZ,0,8,true
purple,0x4303Ddc9943D862f2B205aF468a4A786c5137E76,nir_III,nir.eth ☁️🌿🟣🐦,2350,4,false
gold,0x70eCe45cDc64A768f936Ccb8aC851578251363e3,jaesmail,jihad,,,
silver,0x8ACFe17a5Fe62966A27E579e28c10e936de614f2,HollanderAdam,Adam Hollander,3890,14,false
red,0xede5981A891F6BfFEaab13Cc6E1Ec3bbC452C97e,kislam48,kaziislam.eth,4390,100,false
red,0x0029Ab135b5Be72168BF80F140D60a9264dbD0C5,A_Balyasnikov,Andrey Balyasnikov,2710,11,false
purple,0x049569adb8a1e8A9349E9F1111C7b7993A4612eB,Chipagosfinest,alec.eth (on Farcaster) 🤠,3640,1,false
green,0x38EED3CCeED88f380E436eb21811250797c453C5,jakub_rusiecki,jakub rusiecki,5020,149,false
red,0xb393A72280b962E6949f98Df02F4F209D4a65991,JoeyIny,Joey Iny,4110,15,false
orange,0x01b7baA7baA864fEF3CD1C7bc118Cc97cEdCB33f,gaby_goldberg,Gaby Goldberg,2000,8,false
silver,0xC5076D409eE4F4E964a13D485BfD6b7C548Dba34,Frediscurious,Fred,6880,105,false
blue,0xE996BCB72218d8601dB330cE269dF5b5Ab776FBD,NicolasPriem,Nicolas Priem,1920,11,false
gold,0xb386e92aCf9279cebb13389811C22b77cC649Bd6,thomahov,Thomas Hov,5100,52,false
